6.3	-0.0208733	-0.267932	-0.000753066	-0.38972	0.1	0.0358939	0.0759409	332680
6.4	-0.046151	-0.235558	-0.0382982	-0.357734	0.1	0.0277438	0.0639868	336243
6.5	-0.0676102	-0.19196	-0.0716746	-0.307019	0.1	0.0184243	0.0471303	338798
6.6	-0.084256	-0.139769	-0.0992234	-0.241958	0.1	0.00976768	0.0292719	349191
6.7	-0.0953806	-0.0820891	-0.119746	-0.167289	0.1	0.00336931	0.0139929	353286
6.8	-0.100606	-0.0223861	-0.132518	-0.0877078	0.1	0.00025057	0.00384633	355930
6.9	-0.0999102	0.0357538	-0.137272	-0.00766094	0.1	0.000639168	2.9345e-05	366708
7	-0.0936214	0.0889338	-0.134173	0.0687153	0.1	0.00395461	0.0023609	372018
7.1	-0.0823865	0.134244	-0.123779	0.137627	0.1	0.00901075	0.00947062	374673
7.2	-0.0671093	0.169479	-0.107009	0.195699	0.1	0.0143616	0.0191491	379642
7.3	-0.048874	0.19324	-0.0850944	0.240131	0.1	0.0186708	0.0288314	385702
7.4	-0.0288648	0.20492	-0.0595059	0.268911	0.1	0.0209961	0.0361565	388214
7.5	-0.00828986	0.204624	-0.0318694	0.281013	0.1	0.0209356	0.0394843	390714
7.6	0.0116838	0.193055	-0.00385789	0.276513	0.1	0.0186352	0.0382298	401223
7.7	0.0299852	0.171419	0.022917	0.256555	0.1	0.0146923	0.0329102	403758
7.8	0.0456862	0.141355	0.0470056	0.223193	0.1	0.00999061	0.0249076	406184
7.9	0.0580419	0.104874	0.067199	0.179146	0.1	0.00549924	0.0160466	417888
8	0.0665237	0.0642794	0.0825821	0.127524	0.1	0.00206592	0.00813117	420432
8.1	0.0708434	0.0220525	0.0925604	0.0716002	0.1	0.000243157	0.00256329	428918
8.2	0.0709633	-0.0193062	0.0968675	0.0146338	0.1	0.000186365	0.000107073	435680
8.3	0.0670897	-0.0574491	0.0955566	-0.0402581	0.1	0.0016502	0.000810356	439563
8.4	0.0596489	-0.0903438	0.0889812	-0.0902046	0.1	0.004081	0.00406844	442322
8.5	0.0492495	-0.116398	0.0777649	-0.13269	0.1	0.00677429	0.00880328	453538
8.6	0.0366339	-0.134531	0.0627607	-0.165672	0.1	0.00904931	0.0137235	457111
8.7	0.0226264	-0.144188	0.0449964	-0.187703	0.1	0.0103951	0.0176162	468455
8.8	0.00808114	-0.145316	0.0256111	-0.198029	0.1	0.0105584	0.0196077	473569
8.9	-0.00616559	-0.13832	0.00578225	-0.196631	0.1	0.00956615	0.0193318	477847
9	-0.0193383	-0.123999	-0.0133467	-0.184203	0.1	0.00768792	0.0169654	486073
9.1	-0.0307592	-0.103499	-0.0307341	-0.162064	0.1	0.00535602	0.0131324	488955
9.2	-0.0398793	-0.0782414	-0.0454956	-0.132017	0.1	0.00306086	0.00871424	491614
9.3	-0.046303	-0.0498555	-0.0569448	-0.0961936	0.1	0.00124278	0.0046266	502095
9.4	-0.0498042	-0.0200858	-0.0646186	-0.0569007	0.1	0.000201719	0.00161885	504882
9.5	-0.0503327	0.00931202	-0.0682876	-0.0164858	0.1	4.33569e-05	0.000135891	514065
9.6	-0.0480097	0.0366815	-0.0679543	0.022778	0.1	0.000672766	0.000259419	520438
9.7	-0.0431128	0.0605681	-0.0638407	0.0587915	0.1	0.00183425	0.00172822	530547
9.8	-0.0360515	0.0798016	-0.0563659	0.0897207	0.1	0.00318415	0.0040249	536223
9.9	-0.0273357	0.0935499	-0.0461159	0.114083	0.1	0.00437579	0.00650744	538958
