0	0	5
0.0571199	0.285599	5
0.11424	0.570071	4.98026
0.17136	0.852292	4.94086
0.228479	1.13115	4.88195
0.285599	1.40554	4.80377
0.342719	1.67438	4.70663
0.399839	1.93661	4.59091
0.456959	2.1912	4.45706
0.514079	2.43714	4.30561
0.571199	2.67345	4.13717
0.628319	2.89921	3.95239
0.685438	3.11353	3.75201
0.742558	3.31555	3.53682
0.799678	3.50448	3.30767
0.856798	3.67958	3.06546
0.913918	3.84015	2.81114
0.971038	3.98556	2.54573
1.02816	4.11524	2.27027
1.08528	4.22867	1.98584
1.1424	4.32541	1.69358
1.19952	4.40507	1.39463
1.25664	4.46734	1.09017
1.31376	4.51197	0.781409
1.37088	4.5388	0.469564
1.428	4.5477	0.155865
1.48512	4.53865	-0.15845
1.54224	4.51168	-0.472139
1.59936	4.4669	-0.783964
1.65648	4.40449	-1.09269
1.7136	4.32468	-1.39711
1.77072	4.22781	-1.69601
1.82784	4.11424	-1.98822
1.88496	3.98443	-2.27257
1.94208	3.83889	-2.54796
1.9992	3.6782	-2.81328
2.05632	3.50298	-3.0675
2.11344	3.31394	-3.30961
2.17055	3.11181	-3.53865
2.22767	2.8974	-3.75372
2.28479	2.67155	-3.95398
2.34191	2.43515	-4.13862
2.39903	2.18914	-4.30693
2.45615	1.93449	-4.45823
2.51327	1.6722	-4.59193
2.57039	1.4033	-4.70751
2.62751	1.12887	-4.8045
2.68463	0.849983	-4.88252
2.74175	0.567738	-4.94126
2.79887	0.283253	-4.9805
2.85599	-0.00235116	-5.00008
2.91311	-0.287946	-4.99992
2.97023	-0.572404	-4.98002
3.02735	-0.854602	-4.94045
3.08447	-1.13343	-4.88139
3.14159	-1.40778	-4.80305
3.19871	-1.67657	-4.70575
3.25583	-1.93874	-4.58988
3.31295	-2.19326	-4.45588
3.37007	-2.43912	-4.30429
3.42719	-2.67535	-4.13571
3.48431	-2.90102	-3.95081
3.54143	-3.11524	-3.7503
3.59855	-3.31716	-3.53499
3.65567	-3.50598	-3.30573
3.71279	-3.68096	-3.06341
3.76991	-3.84141	-2.809
3.82703	-3.9867	-2.5435
3.88415	-4.11624	-2.26796
3.94127	-4.22954	-1.98347
3.99839	-4.32614	-1.69114
4.05551	-4.40565	-1.39214
4.11263	-4.46778	-1.08765
4.16975	-4.51227	-0.778854
4.22687	-4.53894	-0.466989
4.28399	-4.5477	-0.15328
4.34111	-4.5385	0.161035
4.39823	-4.51138	0.474713
4.45535	-4.46646	0.786518
4.51247	-4.4039	1.09522
4.56959	-4.32396	1.39959
4.62671	-4.22694	1.69844
4.68383	-4.11324	1.99059
4.74095	-3.9833	2.27487
4.79807	-3.83763	2.55018
4.85519	-3.67682	2.81542
4.91231	-3.50148	3.06954
4.96943	-3.31233	3.31155
5.02655	-3.1101	3.54048
5.08367	-2.89559	3.75543
5.14079	-2.66965	3.95556
5.19791	-2.43317	4.14007
5.25503	-2.18708	4.30824
5.31215	-1.93236	4.4594
5.36927	-1.67001	4.59296
5.42639	-1.40107	4.70838
5.48351	-1.12659	4.80522
5.54063	-0.847673	4.88308
5.59775	-0.565406	4.94167
5.65487	-0.280906	4.98074
5.71199	0.00470233	5.00016
5.76911	0.290292	4.99983
5.82623	0.574736	4.97977
5.88335	0.856911	4.94005
5.94047	1.1357	4.88082
5.99759	1.41001	4.80233
6.05471	1.67875	4.70488
6.11183	1.94087	4.58885
6.16895	2.19532	4.45471
6.22607	2.44111	4.30298
6.28319	2.67725	4.13426
6.34031	2.90283	3.94922
6.39743	3.11695	3.74859
6.45454	3.31877	3.53316
6.51166	3.50748	3.30379
6.56878	3.68234	3.06137
6.6259	3.84267	2.80686
6.68302	3.98783	2.54128
6.74014	4.11724	2.26566
6.79726	4.2304	1.98109
6.85438	4.32686	1.68871
6.9115	4.40624	1.38966
6.96862	4.46822	1.08512
7.02574	4.51256	0.7763
7.08286	4.53909	0.464414
7.13998	4.5477	0.150695
7.1971	4.53835	-0.16362
7.25422	4.51109	-0.477288
7.31134	4.46602	-0.789072
7.36846	4.40331	-1.09774
7.42558	4.32323	-1.40208
7.4827	4.22607	-1.70088
7.53982	4.11223	-1.99296
7.59694	3.98216	-2.27718
7.65406	3.83637	-2.55241
7.71118	3.67543	-2.81756
7.7683	3.49998	-3.07158
7.82542	3.31072	-3.31349
7.88254	3.10838	-3.54231
7.93966	2.89377	-3.75714
7.99678	2.66774	-3.95714
8.0539	2.43118	-4.14153
8.11102	2.18502	-4.30956
8.16814	1.93023	-4.46057
8.22526	1.66782	-4.59398
8.28238	1.39883	-4.70925
8.3395	1.12432	-4.80593
8.39662	0.845363	-4.88364
8.45374	0.563073	-4.94207
8.51086	0.278559	-4.98099
8.56798	-0.00705349	-5.00024
8.6251	-0.292639	-4.99975
8.68222	-0.577068	-4.97952
8.73934	-0.85922	-4.93964
8.79646	-1.13798	-4.88026
8.85358	-1.41225	-4.8016
8.9107	-1.68094	-4.704
8.96782	-1.94299	-4.58782
9.02494	-2.19738	-4.45353
9.08206	-2.44309	-4.30166
9.13918	-2.67915	-4.1328
9.1963	-2.90464	-3.94763
9.25342	-3.11866	-3.74688
9.31054	-3.32037	-3.53133
9.36766	-3.50897	-3.30184
9.42478	-3.68372	-3.05932
9.4819	-3.84393	-2.80472
9.53902	-3.98896	-2.53905
9.59614	-4.11824	-2.26335
9.65326	-4.23126	-1.97872
9.71038	-4.32758	-1.68627
9.7675	-4.40682	-1.38717
9.82462	-4.46866	-1.0826
9.88174	-4.51285	-0.773745
9.93886	-4.53923	-0.461839
